year,importer_name,export_value,exporter_name,import_value
2019,Bahrain,887726528.0,Bahrain,979040515.0
2019,Bangladesh,1627968391.0,Bangladesh,6865760318.0
2019,Barbados,612317042.0,Barbados,99052020.0
2019,Belarus,397301688.0,Belarus,217660307.0
2019,Belgium,31315235339.0,Belgium,20897895115.0
2019,Belize,399513171.0,Belize,86865587.0
2019,Benin,274116202.0,Benin,24053092.0
2019,Bermuda,572502646.0,Bermuda,24289488.0
2019,Bhutan,2746827.0,Bhutan,556984.0
2019,Bolivia,562763713.0,Bolivia,463656785.0
2019,Bosnia and Herzegovina,319331334.0,Bosnia and Herzegovina,105341932.0
2019,Botswana,119033055.0,Botswana,199355322.0
2019,Brazil,35904178083.0,Brazil,29752489444.0
2019,British Indian Ocean Territory,22433598.0,British Indian Ocean Territory,775673.0000000001
2019,British Virgin Islands,342251390.0,British Virgin Islands,1585452.0
2019,Brunei,260518148.0,Brunei,40510985.0
2019,Bulgaria,385479392.0,Bulgaria,854959868.0
2019,Burkina Faso,190449133.0,Burkina Faso,7574894.0
2019,Burma,418933084.0,Burma,994358600.0
2019,Burundi,13774185.0,Burundi,10335269.0
2019,Cambodia,571274700.0,Cambodia,5762847542.0
2019,Cameroon,224409554.0,Cameroon,326516150.0
2019,Canada,254210307215.0,Canada,314255944092.0
2019,Cape Verde,14139910.0,Cape Verde,3687782.0
2019,Cayman Islands,703538485.0,Cayman Islands,33042722.0
2019,Central African Republic,33528566.0,Central African Republic,3507365.0
2019,Chad,77638193.0,Chad,135566665.0
2019,Chile,13885993369.0,Chile,9659311763.0
2019,China,105047801883.0,China,443691149212.0
2019,Chinese Taipei,31113558127.0,Chinese Taipei,51710882875.0
2019,Christmas Island,1494545.0,Christmas Island,468754.0
2019,Cocos (Keeling) Islands,78773.0,Cocos (Keeling) Islands,2595674.0
2019,Colombia,13754610182.0,Colombia,12443324117.0
2019,Comoros,1503326.0,Comoros,2071779.0
2019,Cook Islands,7444310.0,Cook Islands,476767.0
2019,Costa Rica,6032919928.0,Costa Rica,4953232537.0
2019,Cote d\'Ivoire,526477770.0,Cote d\'Ivoire,925314489.0
2019,Croatia,565550331.0,Croatia,534666466.0
2019,Cuba,279474239.0,Cuba,2587421.0
2019,Curaçao,369348116.0,Curaçao,66829275.0
2019,Cyprus,165686903.0,Cyprus,68913844.0
2019,Czechia,3633227455.0,Czechia,5039814146.0
2019,Democratic Republic of the Congo,122533649.0,Democratic Republic of the Congo,21279322.0
2019,Denmark,3073176423.0,Denmark,11352913667.0
2019,Djibouti,140385892.0,Djibouti,2626225.0
2019,Dominica,322510364.0,Dominica,1195559.0
2019,Dominican Republic,9425396963.0,Dominican Republic,6020567645.0
2019,Ecuador,5892645966.0,Ecuador,6750189342.000001
2019,Egypt,4420954912.0,Egypt,3259371953.0
2019,El Salvador,3400929549.0,El Salvador,2427598301.0
2019,Equatorial Guinea,210727810.0,Equatorial Guinea,343808615.00000006
2019,Eritrea,13790124.0,Eritrea,126056.0
2019,Estonia,429815582.0,Estonia,1135164923.0
2019,Eswatini,35615186.0,Eswatini,25820304.0
2019,Ethiopia,418433259.0,Ethiopia,503415780.0
2019,Falkland Islands,295863.0,Falkland Islands,19275630.0
2019,Fiji,76390511.0,Fiji,414354360.0
2019,Finland,2105497676.0,Finland,6359109155.0
2019,France,31926944969.0,France,46719346049.0
2019,French Polynesia,486032084.0,French Polynesia,39418652.0
2019,French South Antarctic Territory,1691560.0,French South Antarctic Territory,126265.0
2019,Gabon,126904880.0,Gabon,120647803.0
2019,Gambia,44546452.0,Gambia,528951.0
2019,Georgia,712943287.0,Georgia,156828669.0
2019,Germany,63547741649.0,Germany,128684585608.0
2019,Ghana,964906297.0,Ghana,978393786.0
2019,Gibraltar,1048530147.0,Gibraltar,9307977.0
2019,Greece,1183520310.0,Greece,1609239816.0
2019,Greenland,11039102.999999998,Greenland,25011981.000000004
2019,Grenada,99931284.0,Grenada,14568771.0
2019,Guatemala,7349559541.0,Guatemala,3888922601.0
2019,Guinea,112254731.0,Guinea,6840520.0
