,Group,Sampled Products,url
71,"Raw Hides, Skins, Leather, and Furs",Leather,https://upload.wikimedia.org/wikipedia/commons/1/15/Reproduction_Mk_VII_Gas_Mask_Bag_-11.jpg
78,Textiles and Apparel,Silk,https://upload.wikimedia.org/wikipedia/commons/e/ea/Court_ladies_pounding_silk_from_a_painting_%28%E6%8D%A3%E7%BB%83%E5%9B%BE%29_by_Emperor_Huizong.jpg
79,Textiles and Apparel,Cotton,https://upload.wikimedia.org/wikipedia/commons/6/68/CottonPlant.JPG
80,Textiles and Apparel,Bed linen of cotton,https://upload.wikimedia.org/wikipedia/commons/0/04/2008-04-12_Freilichtmuseum_Detmold_%2811%29.jpg
81,Textiles and Apparel,Hand-Woven Rugs,https://upload.wikimedia.org/wikipedia/commons/9/95/9Double-Niche_Carpet_LACMA_M.2004.32_%28cropped%29.jpg
82,Textiles and Apparel,Mens Coat,https://upload.wikimedia.org/wikipedia/commons/d/d6/Chesterfieldcoat_oct1901.jpg
83,Textiles and Apparel,Knit Sweater,https://upload.wikimedia.org/wikipedia/commons/6/65/Aran_cardigan.jpg
84,Textiles and Apparel,T-shirts,https://upload.wikimedia.org/wikipedia/commons/e/e5/Vintage_aloha_shirt_crop.png
85,Textiles and Apparel,Ties,https://upload.wikimedia.org/wikipedia/commons/9/9e/Bow-tie-colour-isolated.jpg
86,Textiles and Apparel,Babies garments,https://upload.wikimedia.org/wikipedia/commons/7/7c/Bib_1_%28PSF%29.png
87,Textiles and Apparel,accessories of wool or hair,https://upload.wikimedia.org/wikipedia/commons/3/34/Douglas_Fairbanks_and_Mary_Pickford_02.jpg
88,Textiles and Apparel,not knitted,https://upload.wikimedia.org/wikipedia/commons/e/e7/MakingBoucleYarn.JPG
90,Vegetable Products and by product,Tomatoes,https://upload.wikimedia.org/wikipedia/commons/8/8e/Diversit%C3%A9_taille_tomates.jpg
91,Vegetable Products and by product,Mushrooms,https://upload.wikimedia.org/wikipedia/commons/0/01/ChampignonMushroom.jpg
93,Vegetable Products and by product,Macadamia nuts,https://upload.wikimedia.org/wikipedia/commons/f/fc/Mixed_nuts_small_white2.jpg
94,Vegetable Products and by product,Coffee,https://upload.wikimedia.org/wikipedia/commons/e/e4/Latte_and_dark_coffee.jpg
95,Vegetable Products and by product,Cereals: wheat,https://upload.wikimedia.org/wikipedia/commons/9/9b/NCI_Visuals_Food_Meal_Breakfast.jpg
96,Vegetable Products and by product,Wheat Flours,https://upload.wikimedia.org/wikipedia/commons/8/8b/Kommissbrot.jpg
97,Vegetable Products and by product,Sunflower Seeds,https://upload.wikimedia.org/wikipedia/commons/f/f9/Aj_Wej-wej_I_%282017%29.jpg
105,Wood and Wood Products,bamboo,https://upload.wikimedia.org/wikipedia/commons/f/f3/Bamboo_forest.jpg
100,Wood and Wood Products,Lumber,https://upload.wikimedia.org/wikipedia/commons/0/09/Log_driving_in_Vancouver.jpg
101,Wood and Wood Products,Wood: maple,https://upload.wikimedia.org/wikipedia/commons/9/9a/Acer_negundo_44809168.jpg
102,Wood and Wood Products,Wood: oak,https://upload.wikimedia.org/wikipedia/commons/8/8b/Wood_from_victoria_mountain_ash.jpg
103,Wood and Wood Products,Plywood,https://upload.wikimedia.org/wikipedia/commons/b/bd/Sklejka_Multi_SA_Bydgoszcz_d.jpg
104,Wood and Wood Products,Wood Frames,https://upload.wikimedia.org/wikipedia/commons/7/7a/Defense.gov_photo_essay_100519-A-XXXXE-001.jpg
105,Wood and Wood Products,bamboo,https://upload.wikimedia.org/wikipedia/commons/f/f3/Bamboo_forest.jpg
106,Wood and Wood Products,I-Beam Timber,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bending.svg
107,Wood and Wood Products,Wood: pine,https://upload.wikimedia.org/wikipedia/commons/b/be/Prometheus_Wheeler.jpg
99,Wood and Wood Products,railway,https://upload.wikimedia.org/wikipedia/commons/7/78/Canadian_National_System_Map.PNG
98,Wood and Wood Products,Wood Charcoal,https://upload.wikimedia.org/wikipedia/commons/f/f2/Charcoal_Briquette.JPG
108,Stone and Glass,Ornamental Ceramics,https://upload.wikimedia.org/wikipedia/commons/9/95/Future_Buddha_Maitreya%2C_Tibet%2C_1792-94%2C_Norton_Simon_Museum.JPG
109,Stone and Glass,Rock Wool,https://upload.wikimedia.org/wikipedia/commons/a/ad/Incendio_Campanar_23-2-2024.jpg
112,Stone and Glass,Glass Fibers,https://upload.wikimedia.org/wikipedia/commons/4/44/Kohlenstofffasermatte.jpg
113,Stone and Glass,Plaster Articles,https://upload.wikimedia.org/wikipedia/commons/6/6c/Lath.jpg
114,Stone and Glass,Cement Articles,https://upload.wikimedia.org/wikipedia/commons/f/fe/ACC_Limited_logo.svg
115,Stone and Glass,Asbestos Fibres,https://upload.wikimedia.org/wikipedia/commons/5/5a/Asbestos_with_muscovite.png
116,Stone and Glass,Abrasive Powder,https://upload.wikimedia.org/wikipedia/commons/f/fe/Bathbrick.jpg
117,Stone and Glass,Glazed Ceramics,https://upload.wikimedia.org/wikipedia/commons/a/a7/Etruscan_amphora_Louvre_E703_side_B.jpg
119,Precious Metals and Stones,Gold,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Gold_bullion_ap_001.JPG/1280px-Gold_bullion_ap_001.JPG
121,Precious Metals and Stones,Silver,https://upload.wikimedia.org/wikipedia/commons/0/09/Silver_plate_MET_DP231273.jpg
122,Precious Metals and Stones,Pearl Products,https://upload.wikimedia.org/wikipedia/commons/9/97/Earrings_1.JPG
124,Precious Metals and Stones,Diamonds,https://upload.wikimedia.org/wikipedia/commons/f/f2/Diamonds.jpg
125,Precious Metals and Stones,Metal-Clad Products,https://upload.wikimedia.org/wikipedia/en/9/99/All-Clad_logo.jpg
126,Precious Metals and Stones,Precious Stone Dust,https://upload.wikimedia.org/wikipedia/commons/7/7e/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2851%29.jpg
127,Precious Metals and Stones,Platinum Clad Metals,https://upload.wikimedia.org/wikipedia/commons/c/c3/Vacuum_capacitor_with_uranium_glass.jpg
128,Metals and Metal Products,Iron,https://upload.wikimedia.org/wikipedia/commons/a/ad/Iron_electrolytic_and_1cm3_cube.jpg
129,Metals and Metal Products,Padlocks,https://upload.wikimedia.org/wikipedia/commons/3/32/Love_padlocks_on_the_Butchers%27_Bridge_%28Ljubljana%29.jpg
131,Metals and Metal Products,Scrap Lead,https://upload.wikimedia.org/wikipedia/commons/e/e6/Lead_electrolytic_and_1cm3_cube.jpg
132,Metals and Metal Products,Iron Anchors,https://upload.wikimedia.org/wikipedia/commons/d/d1/Kotwica_SS_Pozna%C5%84.JPG
133,Metals and Metal Products,Hot-Rolled Stainless Steel Bars,https://upload.wikimedia.org/wikipedia/commons/d/df/Bokaro_Steel_Plant_.jpg
134,Metals and Metal Products,Barbed Wire,https://upload.wikimedia.org/wikipedia/commons/9/9f/RailFence.jpg
135,Metals and Metal Products,Iron Gas Containers,https://upload.wikimedia.org/wikipedia/commons/a/ad/Boilermaker_-_Alfred_T_Palmer.jpg
136,Metals and Metal Products,Iron Cloth,https://upload.wikimedia.org/wikipedia/commons/9/9f/Electric_steam_iron.jpg
137,Metals and Metal Products,Small Iron Containers,https://upload.wikimedia.org/wikipedia/commons/1/1c/MAERSK_MC_KINNEY_M%C3%96LLER_%26_MARSEILLE_MAERSK_%2848694054418%29.jpg
130,Metals and Metal Products,Flat Flat-Rolled Steel,https://upload.wikimedia.org/wikipedia/commons/d/de/BlueScope_Logo.svg
138,Machinery and Electrical Equipment,Harvesting Machinery,https://upload.wikimedia.org/wikipedia/commons/0/08/Agricultural_machinery.jpg
140,Machinery and Electrical Equipment,Large Construction Vehicles,https://upload.wikimedia.org/wikipedia/commons/9/9e/DR_trucks_on_Frue_Plads.jpg
142,Machinery and Electrical Equipment,Central Heating Boilers,https://upload.wikimedia.org/wikipedia/commons/d/de/Kociol_parowy_lokomobilowy_typ_Ln2_skansen_kopalniatg_20070627.jpg
